TICKER,SICCD,sic_divisions,sic_detailed
FCVG,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
OMEG,3220,Manufacturing,"Stone, Clay & Glass Products"
DRSS,8740,Services,Engineering & Management Services
HPLX,8740,Services,Engineering & Management Services
PTIS,3540,Manufacturing,Industrial Machinery & Equipment
LOMK,1381,Mining,Oil & Gas Extraction
KORP,6610,"Finance, Insurance & Real Estate",
LDII,3820,Manufacturing,Instruments & Related Products
FOCS,3820,Manufacturing,Instruments & Related Products
EXTH,7011,Services,Hotels & Other Lodging Places
PELT,3660,Manufacturing,Electronic & Other Electrical Equipment
CDMD,6150,"Finance, Insurance & Real Estate",Credit Agencies
NATA,2830,Manufacturing,Chemicals
AGBG,3520,Manufacturing,Industrial Machinery & Equipment
CELP,2830,Manufacturing,Chemicals
CHEZ,2020,Manufacturing,Food & Kindred Products
BRLI,8070,Services,Health Services
SPTS,2740,Manufacturing,Printing & Publishing
FWAT,3560,Manufacturing,Industrial Machinery & Equipment
CHXS,7380,Services,Business Services
EDMK,2740,Manufacturing,Printing & Publishing
FNAT,7820,Services,Motion Pictures
CCIL,4810,"Transportation, Communications & Utilities",Communications
ASLA,6030,"Finance, Insurance & Real Estate",Banking
STDL,3670,Manufacturing,Electronic & Other Electrical Equipment
CRLY,7810,Services,Motion Pictures
CPTLA,5080,Wholesale Trade,Wholesale Trade - Durable Goods
FUTR,6220,"Finance, Insurance & Real Estate",Securities & Commodities Brokers
TPEG,7810,Services,Motion Pictures
VPEI,1310,Mining,Oil & Gas Extraction
ADNA,8730,Services,Engineering & Management Services
NACC,5190,Wholesale Trade,Wholesale Trade - Nondurable Goods
USTI,7370,Services,Business Services
CTEL,4810,"Transportation, Communications & Utilities",Communications
CECS,7840,Services,Motion Pictures
BOCA,6720,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
AORT,3840,Manufacturing,Instruments & Related Products
COMC,4810,"Transportation, Communications & Utilities",Communications
SASOY,1310,Mining,Oil & Gas Extraction
SCGI,4830,"Transportation, Communications & Utilities",Communications
HISS,8090,Services,Health Services
CORX,2830,Manufacturing,Chemicals
CREI,8050,Services,Health Services
PRIB,2250,Manufacturing,Textile Mill Products
UNRC,1380,Mining,Oil & Gas Extraction
SOFI,6140,"Finance, Insurance & Real Estate",Credit Agencies
SPNX,1040,Mining,Metal Mining
CAMZ,5130,Wholesale Trade,Wholesale Trade - Nondurable Goods
MODAF,7370,Services,Business Services
CTMC,1040,Mining,Metal Mining
MSMD,3840,Manufacturing,Instruments & Related Products
WHFI,2030,Manufacturing,Food & Kindred Products
LEAK,2890,Manufacturing,Chemicals
KENT,4920,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
DGSI,8930,Services,
IBRM,1380,Mining,Oil & Gas Extraction
ISYS,7370,Services,Business Services
GOTK,3690,Manufacturing,Electronic & Other Electrical Equipment
SDOT,8710,Services,Engineering & Management Services
PPRO,3570,Manufacturing,Industrial Machinery & Equipment
AACI,7810,Services,Motion Pictures
OFLDF,5080,Wholesale Trade,Wholesale Trade - Durable Goods
DECO,3640,Manufacturing,Electronic & Other Electrical Equipment
TAROF,2830,Manufacturing,Chemicals
SPSG,3840,Manufacturing,Instruments & Related Products
DBRSY,1499,Mining,Mining & Quarrying of Nonmetallic Minerals
SKCH,2010,Manufacturing,Food & Kindred Products
NDEC,7380,Services,Business Services
CSBR,5810,Retail Trade,Eating & Drinking Places
ODDS,6550,"Finance, Insurance & Real Estate",Real Estate
PETS,3990,Manufacturing,Miscellaneous Manufacturing
DASH,5133,Wholesale Trade,Wholesale Trade - Nondurable Goods
MCIKF,6790,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
INVI,2830,Manufacturing,Chemicals
ASCO,3670,Manufacturing,Electronic & Other Electrical Equipment
SCPNA,7370,Services,Business Services
MSCX,3660,Manufacturing,Electronic & Other Electrical Equipment
EVMD,3840,Manufacturing,Instruments & Related Products
AVMRF,1040,Mining,Metal Mining
BHFC,5020,Wholesale Trade,Wholesale Trade - Durable Goods
APII,5090,Wholesale Trade,Wholesale Trade - Durable Goods
ESCI,1481,Mining,Mining & Quarrying of Nonmetallic Minerals
WHIT,8290,Services,Educational Services
AUDK,5730,Retail Trade,Home Furniture & Equipment
BINI,270,"Agriculture, Forestry & Fishing",Agricultural Production - Crops
CICI,7370,Services,Business Services
APIE,3670,Manufacturing,Electronic & Other Electrical Equipment
SDSK,2390,Manufacturing,Apparel
NOIZ,3670,Manufacturing,Electronic & Other Electrical Equipment
BHHI,5140,Wholesale Trade,Wholesale Trade - Nondurable Goods
LVDG,5960,Retail Trade,Miscellaneous Retail
SXTR,5710,Retail Trade,Home Furniture & Equipment
MRMD,1040,Mining,Metal Mining
AIKI,2030,Manufacturing,Food & Kindred Products
TFONY,4813,"Transportation, Communications & Utilities",Communications
BFELY,1041,Mining,Metal Mining
LVEN,7810,Services,Motion Pictures
MSON,3840,Manufacturing,Instruments & Related Products
UHCP,5550,Retail Trade,Automotive Dealers
GHCI,5940,Retail Trade,Miscellaneous Retail
STGA,2090,Manufacturing,Food & Kindred Products
BJCTF,3840,Manufacturing,Instruments & Related Products
NTNC,4840,"Transportation, Communications & Utilities",Communications
GRRI,7310,Services,Business Services
TIDE,1310,Mining,Oil & Gas Extraction
AROYF,1040,Mining,Metal Mining
GCOM,4830,"Transportation, Communications & Utilities",Communications
FAHNF,6210,"Finance, Insurance & Real Estate",Securities & Commodities Brokers
MBCC,7380,Services,Business Services
GALAF,3570,Manufacturing,Industrial Machinery & Equipment
PCOM,3670,Manufacturing,Electronic & Other Electrical Equipment
FACE,2430,Manufacturing,Lumber & Wood Products
RACM,7360,Services,Business Services
ISOL,7370,Services,Business Services
LVNVF,1480,Mining,Mining & Quarrying of Nonmetallic Minerals
WGEN,7810,Services,Motion Pictures
SKIL,8290,Services,Educational Services
CRED,1311,Mining,Oil & Gas Extraction
CBLX,5060,Wholesale Trade,Wholesale Trade - Durable Goods
HCTV,7920,Services,Amusement & Recreation
PDMC,8990,Services,
TSSL,7310,Services,Business Services
NEIC,6330,"Finance, Insurance & Real Estate",Insurance Carriers
FBUS,7370,Services,Business Services
SAMI,4840,"Transportation, Communications & Utilities",Communications
GLDFY,1040,Mining,Metal Mining
ALLA,6720,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
ROBE,5130,Wholesale Trade,Wholesale Trade - Nondurable Goods
NLMC,1041,Mining,Metal Mining
UMCI,6320,"Finance, Insurance & Real Estate",Insurance Carriers
WDEPY,1041,Mining,Metal Mining
CRTN,3670,Manufacturing,Electronic & Other Electrical Equipment
WNMP,3660,Manufacturing,Electronic & Other Electrical Equipment
CRTV,5090,Wholesale Trade,Wholesale Trade - Durable Goods
IBSC,8740,Services,Engineering & Management Services
XARTF,2750,Manufacturing,Printing & Publishing
CECN,3530,Manufacturing,Industrial Machinery & Equipment
FONCF,3650,Manufacturing,Electronic & Other Electrical Equipment
VLFG,3840,Manufacturing,Instruments & Related Products
HECI,1310,Mining,Oil & Gas Extraction
FCLC,6310,"Finance, Insurance & Real Estate",Insurance Carriers
MGAS,3820,Manufacturing,Instruments & Related Products
RCOM,3660,Manufacturing,Electronic & Other Electrical Equipment
AURE,4950,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
KCFB,6020,"Finance, Insurance & Real Estate",Banking
EQAU,1040,Mining,Metal Mining
ARCI,5090,Wholesale Trade,Wholesale Trade - Durable Goods
POCI,3830,Manufacturing,Instruments & Related Products
USEC,3650,Manufacturing,Electronic & Other Electrical Equipment
CRTC,7290,Services,Personal Services
TLTK,3660,Manufacturing,Electronic & Other Electrical Equipment
WPOG,1310,Mining,Oil & Gas Extraction
MRCO,3470,Manufacturing,Fabricated Metal Products
SIHS,3535,Manufacturing,Industrial Machinery & Equipment
USPN,5930,Retail Trade,Miscellaneous Retail
BWSI,4950,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
FRSH,2030,Manufacturing,Food & Kindred Products
APHC,7350,Services,Business Services
MIRR,3570,Manufacturing,Industrial Machinery & Equipment
NYCM,4810,"Transportation, Communications & Utilities",Communications
IVET,2834,Manufacturing,Chemicals
OVON,3670,Manufacturing,Electronic & Other Electrical Equipment
QSNDF,3570,Manufacturing,Industrial Machinery & Equipment
NNET,4830,"Transportation, Communications & Utilities",Communications
ELMS,5810,Retail Trade,Eating & Drinking Places
ISRL,1310,Mining,Oil & Gas Extraction
AMEP,3690,Manufacturing,Electronic & Other Electrical Equipment
GAMBY,3840,Manufacturing,Instruments & Related Products
TELS,3660,Manufacturing,Electronic & Other Electrical Equipment
IOMT,3660,Manufacturing,Electronic & Other Electrical Equipment
AJAY,3940,Manufacturing,Miscellaneous Manufacturing
IMAI,3840,Manufacturing,Instruments & Related Products
MTCI,7370,Services,Business Services
AFPC,3860,Manufacturing,Instruments & Related Products
MEDY,3840,Manufacturing,Instruments & Related Products
AMFN,7370,Services,Business Services
DCIS,7370,Services,Business Services
DTII,3570,Manufacturing,Industrial Machinery & Equipment
TGBRY,1090,Mining,Metal Mining
MICR,3840,Manufacturing,Instruments & Related Products
AMPBA,6020,"Finance, Insurance & Real Estate",Banking
BCMD,1041,Mining,Metal Mining
CUSIF,1040,Mining,Metal Mining
DBII,3570,Manufacturing,Industrial Machinery & Equipment
DOCU,7380,Services,Business Services
AVEC,3840,Manufacturing,Instruments & Related Products
DUNN,6150,"Finance, Insurance & Real Estate",Credit Agencies
TEAM,7370,Services,Business Services
LAET,5730,Retail Trade,Home Furniture & Equipment
SMTS,3840,Manufacturing,Instruments & Related Products
DNVOF,3440,Manufacturing,Fabricated Metal Products
HOST,7010,Services,Hotels & Other Lodging Places
GYNX,2830,Manufacturing,Chemicals
ILCO,6310,"Finance, Insurance & Real Estate",Insurance Carriers
SOLI,3670,Manufacturing,Electronic & Other Electrical Equipment
TAGO,2830,Manufacturing,Chemicals
CSGI,6330,"Finance, Insurance & Real Estate",Insurance Carriers
ICGN,3560,Manufacturing,Industrial Machinery & Equipment
KRHCF,1470,Mining,Mining & Quarrying of Nonmetallic Minerals
RLAB,2830,Manufacturing,Chemicals
STOSY,1311,Mining,Oil & Gas Extraction
PNTH,7810,Services,Motion Pictures
BTWS,3990,Manufacturing,Miscellaneous Manufacturing
OHSI,8010,Services,Health Services
PWSP,3670,Manufacturing,Electronic & Other Electrical Equipment
TKOCF,1040,Mining,Metal Mining
AUYMF,1090,Mining,Metal Mining
GTSW,7370,Services,Business Services
BTIM,2830,Manufacturing,Chemicals
TCCC,4210,"Transportation, Communications & Utilities",Transportation
WLKMY,1040,Mining,Metal Mining
ETRC,7370,Services,Business Services
BVET,3840,Manufacturing,Instruments & Related Products
FGNO,7940,Services,Amusement & Recreation
GBNC,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
ACQN,9990,Public Administration,Nonclassifiable Establishments
FFII,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
NEWB,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
XPRS,5930,Retail Trade,Miscellaneous Retail
VVTVA,4830,"Transportation, Communications & Utilities",Communications
WSCO,5530,Retail Trade,Automotive Dealers
FMAR,6020,"Finance, Insurance & Real Estate",Banking
PKVL,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
LBSC,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
SEAS,3820,Manufacturing,Instruments & Related Products
VISC,2520,Manufacturing,Furniture & Fixtures
CTSC,7370,Services,Business Services
NYTL,8730,Services,Engineering & Management Services
VEST,2090,Manufacturing,Food & Kindred Products
HMII,7810,Services,Motion Pictures
CMED,7370,Services,Business Services
CTEXB,4810,"Transportation, Communications & Utilities",Communications
FENB,6020,"Finance, Insurance & Real Estate",Banking
CORE,7374,Services,Business Services
RDVA,3070,Manufacturing,Rubber & Plastics Products
FCBI,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
PDGE,9990,Public Administration,Nonclassifiable Establishments
CONS,6030,"Finance, Insurance & Real Estate",Banking
VGHN,5060,Wholesale Trade,Wholesale Trade - Durable Goods
CJBCF,2840,Manufacturing,Chemicals
BCIAF,3080,Manufacturing,Rubber & Plastics Products
LEND,6160,"Finance, Insurance & Real Estate",Credit Agencies
BSIC,1311,Mining,Oil & Gas Extraction
CADA,7370,Services,Business Services
ISIG,5190,Wholesale Trade,Wholesale Trade - Nondurable Goods
MFCO,3670,Manufacturing,Electronic & Other Electrical Equipment
VCHP,2090,Manufacturing,Food & Kindred Products
AIRE,3560,Manufacturing,Industrial Machinery & Equipment
SBSE,8910,Services,
YUKN,3433,Manufacturing,Fabricated Metal Products
SMCS,7360,Services,Business Services
MAME,6330,"Finance, Insurance & Real Estate",Insurance Carriers
CHUR,1310,Mining,Oil & Gas Extraction
CVCO,2450,Manufacturing,Lumber & Wood Products
MEDM,3840,Manufacturing,Instruments & Related Products
CNVCF,1310,Mining,Oil & Gas Extraction
URLPZ,6510,"Finance, Insurance & Real Estate",Real Estate
PHELK,4511,"Transportation, Communications & Utilities",Transportation
XETA,7370,Services,Business Services
BUCS,2750,Manufacturing,Printing & Publishing
BWWC,1380,Mining,Oil & Gas Extraction
TMKT,3660,Manufacturing,Electronic & Other Electrical Equipment
SAVB,6060,"Finance, Insurance & Real Estate",Banking
VRSI,2830,Manufacturing,Chemicals
EFIL,4950,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
XSCIA,8730,Services,Engineering & Management Services
GLEN,3440,Manufacturing,Fabricated Metal Products
CPWR,3670,Manufacturing,Electronic & Other Electrical Equipment
CCOM,2320,Manufacturing,Apparel
CLFL,6550,"Finance, Insurance & Real Estate",Real Estate
EQUI,6140,"Finance, Insurance & Real Estate",Credit Agencies
BWTRY,2640,Manufacturing,Paper & Allied Products
FXBC,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
PFRD,8090,Services,Health Services
ALCD,2870,Manufacturing,Chemicals
PHON,3820,Manufacturing,Instruments & Related Products
KRKAF,1040,Mining,Metal Mining
FBAN,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
GOLF,3940,Manufacturing,Miscellaneous Manufacturing
VFRT,2090,Manufacturing,Food & Kindred Products
AGVS,5040,Wholesale Trade,Wholesale Trade - Durable Goods
FSLRF,1040,Mining,Metal Mining
PROA,2810,Manufacturing,Chemicals
CUCO,5812,Retail Trade,Eating & Drinking Places
RPICB,7814,Services,Motion Pictures
HWDH,5010,Wholesale Trade,Wholesale Trade - Durable Goods
DMACF,1040,Mining,Metal Mining
BRBK,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
AALA,210,"Agriculture, Forestry & Fishing",Agricultural Production - Crops
TRTC,3820,Manufacturing,Instruments & Related Products
TATTF,3570,Manufacturing,Industrial Machinery & Equipment
HIIN,3690,Manufacturing,Electronic & Other Electrical Equipment
INFB,6030,"Finance, Insurance & Real Estate",Banking
GRSO,1380,Mining,Oil & Gas Extraction
MVTV,7310,Services,Business Services
CRYO,2060,Manufacturing,Food & Kindred Products
RNTL,6610,"Finance, Insurance & Real Estate",
TVTK,3662,Manufacturing,Electronic & Other Electrical Equipment
BIRI,7940,Services,Amusement & Recreation
PANRA,1380,Mining,Oil & Gas Extraction
FBCV,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CTKR,1380,Mining,Oil & Gas Extraction
CVDE,3550,Manufacturing,Industrial Machinery & Equipment
MRIX,1380,Mining,Oil & Gas Extraction
SHLY,5060,Wholesale Trade,Wholesale Trade - Durable Goods
GYRO,6510,"Finance, Insurance & Real Estate",Real Estate
GPAX,3410,Manufacturing,Fabricated Metal Products
GSTD,1040,Mining,Metal Mining
CNCP,3670,Manufacturing,Electronic & Other Electrical Equipment
HRMY,2870,Manufacturing,Chemicals
GLDR,1040,Mining,Metal Mining
SNTKY,8730,Services,Engineering & Management Services
BPWRF,4910,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
LECO,2830,Manufacturing,Chemicals
GAIT,3841,Manufacturing,Instruments & Related Products
UTIN,6310,"Finance, Insurance & Real Estate",Insurance Carriers
FBKP,6020,"Finance, Insurance & Real Estate",Banking
XIOX,7370,Services,Business Services
CBOR,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
SCTI,3660,Manufacturing,Electronic & Other Electrical Equipment
CLCO,3720,Manufacturing,Transportation Equipment
TYRX,1310,Mining,Oil & Gas Extraction
BPRXA,2830,Manufacturing,Chemicals
DACO,6550,"Finance, Insurance & Real Estate",Real Estate
LABS,3840,Manufacturing,Instruments & Related Products
KKRO,5810,Retail Trade,Eating & Drinking Places
FKLB,6026,"Finance, Insurance & Real Estate",Banking
GONE,3080,Manufacturing,Rubber & Plastics Products
MBMI,5080,Wholesale Trade,Wholesale Trade - Durable Goods
VOIT,5090,Wholesale Trade,Wholesale Trade - Durable Goods
QSRTF,1040,Mining,Metal Mining
HWDI,5010,Wholesale Trade,Wholesale Trade - Durable Goods
SKAI,4840,"Transportation, Communications & Utilities",Communications
GSCX,7370,Services,Business Services
GFIV,7370,Services,Business Services
JBNC,6711,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
NRIM,6020,"Finance, Insurance & Real Estate",Banking
PMED,3840,Manufacturing,Instruments & Related Products
SMRX,2830,Manufacturing,Chemicals
ESAR,3620,Manufacturing,Electronic & Other Electrical Equipment
PHEL,4511,"Transportation, Communications & Utilities",Transportation
WTEK,4950,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
FBGIA,6310,"Finance, Insurance & Real Estate",Insurance Carriers
DRSDY,6025,"Finance, Insurance & Real Estate",Banking
LBUR,2520,Manufacturing,Furniture & Fixtures
SKNS,5812,Retail Trade,Eating & Drinking Places
SVTX,7380,Services,Business Services
CBEN,2770,Manufacturing,Printing & Publishing
NSFC,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
ARYTF,3830,Manufacturing,Instruments & Related Products
AUFN,6140,"Finance, Insurance & Real Estate",Credit Agencies
SFNCA,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
ASMCV,1040,Mining,Metal Mining
AIRT,4510,"Transportation, Communications & Utilities",Transportation
MILAA,3390,Manufacturing,Primary Metal Industries
DYNX,3660,Manufacturing,Electronic & Other Electrical Equipment
LANZ,3840,Manufacturing,Instruments & Related Products
FSACF,1040,Mining,Metal Mining
QILT,3550,Manufacturing,Industrial Machinery & Equipment
BDTC,5040,Wholesale Trade,Wholesale Trade - Durable Goods
ECCE,1310,Mining,Oil & Gas Extraction
GCAP,6720,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CANI,6552,"Finance, Insurance & Real Estate",Real Estate
VRNT,3620,Manufacturing,Electronic & Other Electrical Equipment
ITCM,7372,Services,Business Services
DMII,3690,Manufacturing,Electronic & Other Electrical Equipment
RMLBF,2830,Manufacturing,Chemicals
BASEB,3662,Manufacturing,Electronic & Other Electrical Equipment
SPZN,3550,Manufacturing,Industrial Machinery & Equipment
STPHF,3570,Manufacturing,Industrial Machinery & Equipment
BKSC,6020,"Finance, Insurance & Real Estate",Banking
PHXN,8740,Services,Engineering & Management Services
MMCO,1030,Mining,Metal Mining
WCX,1221,Mining,Coal Mining
SPUD,130,"Agriculture, Forestry & Fishing",Agricultural Production - Crops
XSIR,3810,Manufacturing,Instruments & Related Products
LDF,6726,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
WHAL,2510,Manufacturing,Furniture & Fixtures
CCOR,2520,Manufacturing,Furniture & Fixtures
FUEL,5980,Retail Trade,Miscellaneous Retail
UCTC,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
OMED,3840,Manufacturing,Instruments & Related Products
SLAB,3670,Manufacturing,Electronic & Other Electrical Equipment
CFCM,1040,Mining,Metal Mining
LMNT,5650,Retail Trade,Apparel & Accessory Stores
SNKI,3110,Manufacturing,Leather
GEOI,1311,Mining,Oil & Gas Extraction
SUMM,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
WMCO,3710,Manufacturing,Transportation Equipment
DATQ,7370,Services,Business Services
NRGIA,1311,Mining,Oil & Gas Extraction
NOVA,1381,Mining,Oil & Gas Extraction
RLIFA,6311,"Finance, Insurance & Real Estate",Insurance Carriers
BKMD,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
GTIM,5810,Retail Trade,Eating & Drinking Places
MCTL,7010,Services,Hotels & Other Lodging Places
SIXX,6790,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
BBCP,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CBOG,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
ARKS,7380,Services,Business Services
ADTX,4950,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
BMLS,2280,Manufacturing,Textile Mill Products
LIPSA,5120,Wholesale Trade,Wholesale Trade - Nondurable Goods
CPCO,7370,Services,Business Services
WCSI,7360,Services,Business Services
PHNI,1380,Mining,Oil & Gas Extraction
ZIPP,2730,Manufacturing,Printing & Publishing
BSIS,7370,Services,Business Services
CGLDF,1040,Mining,Metal Mining
AMTS,5050,Wholesale Trade,Wholesale Trade - Durable Goods
MEGOB,6530,"Finance, Insurance & Real Estate",Real Estate
PINN,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
BLCR,1311,Mining,Oil & Gas Extraction
HCLL,8090,Services,Health Services
COLB,6030,"Finance, Insurance & Real Estate",Banking
IMCO,8090,Services,Health Services
SEIS,3840,Manufacturing,Instruments & Related Products
CSCI,4010,"Transportation, Communications & Utilities",Transportation
SPTM,3840,Manufacturing,Instruments & Related Products
MPET,1311,Mining,Oil & Gas Extraction
WILLB,2731,Manufacturing,Printing & Publishing
FDIR,2740,Manufacturing,Printing & Publishing
COTTF,2080,Manufacturing,Food & Kindred Products
MTALA,3390,Manufacturing,Primary Metal Industries
BLYH,7370,Services,Business Services
WRTH,7210,Services,Personal Services
THMP,3442,Manufacturing,Fabricated Metal Products
FTEC,3660,Manufacturing,Electronic & Other Electrical Equipment
MCAP,6550,"Finance, Insurance & Real Estate",Real Estate
ACAP,6311,"Finance, Insurance & Real Estate",Insurance Carriers
KNBWY,2080,Manufacturing,Food & Kindred Products
LYDPY,1040,Mining,Metal Mining
SAIL,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
ATXI,3420,Manufacturing,Fabricated Metal Products
FBTR,3270,Manufacturing,"Stone, Clay & Glass Products"
LEAD,1040,Mining,Metal Mining
PLXX,3070,Manufacturing,Rubber & Plastics Products
INMRY,3840,Manufacturing,Instruments & Related Products
CFFC,6030,"Finance, Insurance & Real Estate",Banking
GREN,1380,Mining,Oil & Gas Extraction
GHSI,7370,Services,Business Services
TXCO,1310,Mining,Oil & Gas Extraction
MTEK,3820,Manufacturing,Instruments & Related Products
RVW,2671,Manufacturing,Paper & Allied Products
NASB,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
LWAY,2020,Manufacturing,Food & Kindred Products
TIPNF,1040,Mining,Metal Mining
BNTY,1310,Mining,Oil & Gas Extraction
NWELF,1380,Mining,Oil & Gas Extraction
APAGF,1310,Mining,Oil & Gas Extraction
BOKF,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CELNA,6410,"Finance, Insurance & Real Estate",Insurance Agents
JERI,7010,Services,Hotels & Other Lodging Places
RACO,6799,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
STBC,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
MRMT,3490,Manufacturing,Fabricated Metal Products
YOCM,2020,Manufacturing,Food & Kindred Products
HPET,1310,Mining,Oil & Gas Extraction
TENB,6030,"Finance, Insurance & Real Estate",Banking
RSTAF,7010,Services,Hotels & Other Lodging Places
DKBC,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
DNLC,6310,"Finance, Insurance & Real Estate",Insurance Carriers
NBKC,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
MCMC,6310,"Finance, Insurance & Real Estate",Insurance Carriers
IBKS,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
NORPF,1040,Mining,Metal Mining
RVTK,3420,Manufacturing,Fabricated Metal Products
NZPCY,1311,Mining,Oil & Gas Extraction
CRNA,2283,Manufacturing,Textile Mill Products
BNSOF,3820,Manufacturing,Instruments & Related Products
VSPA,7011,Services,Hotels & Other Lodging Places
BZHKF,6712,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
PRME,7350,Services,Business Services
IICR,6723,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
SSBG,4830,"Transportation, Communications & Utilities",Communications
LOGI,3825,Manufacturing,Instruments & Related Products
WASH,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
HTT,6726,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
CCPI,4840,"Transportation, Communications & Utilities",Communications
COE,2261,Manufacturing,Textile Mill Products
ETF,6726,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
AVSS,5990,Retail Trade,Miscellaneous Retail
HRH,6411,"Finance, Insurance & Real Estate",Insurance Agents
HUPH,3820,Manufacturing,Instruments & Related Products
SCMS,3820,Manufacturing,Instruments & Related Products
JAYA,5080,Wholesale Trade,Wholesale Trade - Durable Goods
TPRO,3620,Manufacturing,Electronic & Other Electrical Equipment
LGFB,6030,"Finance, Insurance & Real Estate",Banking
HAMP,2290,Manufacturing,Textile Mill Products
LIBC,6020,"Finance, Insurance & Real Estate",Banking
OFB,6035,"Finance, Insurance & Real Estate",Banking
XCOM,3660,Manufacturing,Electronic & Other Electrical Equipment
BITI,7380,Services,Business Services
CSLMF,6720,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
RTIC,3710,Manufacturing,Transportation Equipment
PAMT,7370,Services,Business Services
GAMI,6610,"Finance, Insurance & Real Estate",
BRGR,6510,"Finance, Insurance & Real Estate",Real Estate
ILEX,7040,Services,Hotels & Other Lodging Places
EUAM,7370,Services,Business Services
AAON,3580,Manufacturing,Industrial Machinery & Equipment
NHER,1530,Construction,Building Construction
ENCRF,2830,Manufacturing,Chemicals
RIOC,5990,Retail Trade,Miscellaneous Retail
HSVLY,3320,Manufacturing,Primary Metal Industries
SRSC,3550,Manufacturing,Industrial Machinery & Equipment
CMGI,7370,Services,Business Services
HMCO,1040,Mining,Metal Mining
MICL,3670,Manufacturing,Electronic & Other Electrical Equipment
NMBT,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
IDCC,3079,Manufacturing,Rubber & Plastics Products
CABR,8010,Services,Health Services
DYNC,5040,Wholesale Trade,Wholesale Trade - Durable Goods
MNTCF,3660,Manufacturing,Electronic & Other Electrical Equipment
RAWA,7510,Services,Auto Repair & Services
PRFB,6030,"Finance, Insurance & Real Estate",Banking
LUXT,3830,Manufacturing,Instruments & Related Products
CIMG,3840,Manufacturing,Instruments & Related Products
HICKA,3820,Manufacturing,Instruments & Related Products
COOP,6030,"Finance, Insurance & Real Estate",Banking
IMTC,3570,Manufacturing,Industrial Machinery & Equipment
SBNK,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
OSBK,6020,"Finance, Insurance & Real Estate",Banking
RBNK,6710,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
TECC,4960,"Transportation, Communications & Utilities","Electric, Gas & Sanitary Services"
BURMY,1311,Mining,Oil & Gas Extraction
STON,4810,"Transportation, Communications & Utilities",Communications
BDCO,1310,Mining,Oil & Gas Extraction
NXC,6726,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
DAWH,3860,Manufacturing,Instruments & Related Products
ATCR,2750,Manufacturing,Printing & Publishing
NXN,6726,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
PMH,6726,"Finance, Insurance & Real Estate",Holding & Other Investment Offices
